Title,Organization,Course_rating,Course_level,Course_certificate,Course_duration,Students_ratings,Web,Course_clases,Course_actual_price,Course_original_price,Course_price,Course_students_enrolled,Course_description
Introduction to Sustainability,University of Illinois at Urbana-Champaign,4.8,Beginner , Course , 1-3 Months ,18 reseñas,Coursera,,,,,,
Introduction to Mathematical Thinking,Stanford University,4.6,Beginner , Specialization , 3-6 Months ,2k reseñas,Coursera,,,,,,
Good with Words: Speaking and Presenting,University of Michigan,4.4,Beginner , Course , 1-4 Weeks ,"5,5k reseñas",Coursera,,,,,,
Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,4.7,Beginner , Course , 1-4 Weeks ,"1,6k reseñas",Coursera,,,,,,
Blockchain Revolution in Financial Services,INSEAD,4.7,Beginner , Course , 1-3 Months ,"2,7k reseñas",Coursera,,,,,,
Learn to Program: The Fundamentals,University of Toronto,4.8,Beginner , Course , 1-3 Months ,"4,1k reseñas",Coursera,,,,,,
Astronomy: Exploring Time and Space,University of Arizona,4.7,Mixed , Course , 1-3 Months ,"2,7k reseñas",Coursera,,,,,,
Computational Thinking for Problem Solving,University of Pennsylvania,4.5,Beginner , Professional Certificate , 1-4 Weeks ,"1,2k reseñas",Coursera,,,,,,
Réussir le Changement,ESSEC Business School,4.7,Beginner , Specialization , 3-6 Months ,"2,2k reseñas",Coursera,,,,,,
Auditing I: Conceptual Foundations of Auditing,University of Illinois at Urbana-Champaign,4.7,Intermediate , Specialization , 3-6 Months ,741 reseñas,Coursera,,,,,,
Coaching Skills for Managers,"University of California, Davis",4.4,Intermediate , Specialization , 3-6 Months ,,Coursera,,,,,,
Cybersecurity Compliance Framework & System Administration,IBM,4.7,Mixed , Course , 1-3 Months ,"2,3k reseñas",Coursera,,,,,,
Marketing with TikTok,Aptly,4.9,Intermediate , Specialization , 3-6 Months ,"2,4k reseñas",Coursera,,,,,,
Everyday Parenting: The ABCs of Child Rearing,Yale University,4.7,Mixed , Course , 1-3 Months ,"2,5k reseñas",Coursera,,,,,,
Natural Language Processing with Probabilistic Models,DeepLearning.AI,4.7,Intermediate , Course , 1-3 Months ,120 reseñas,Coursera,,,,,,
Mathematics for Machine Learning: Linear Algebra,Imperial College London,4.8,Beginner , Specialization , 3-6 Months ,"3,9k reseñas",Coursera,,,,,,
Responsive Web Design in Adobe XD,Google,4.6,Beginner , Course , 1-3 Months ,897 reseñas,Coursera,,,,,,
Healthcare Organization Operations,Rutgers the State University of New Jersey,4.8,Beginner , Specialization , 3-6 Months ,6k reseñas,Coursera,,,,,,
Introduction to Programming with MATLAB,Vanderbilt University,4.8,Beginner , Course , 1-3 Months ,"3,4k reseñas",Coursera,,,,,,
Mathematics for Engineers,The Hong Kong University of Science and Technology,4.7,Beginner , Course , 1-3 Months ,"1,2k reseñas",Coursera,,,,,,
Using Python to Interact with the Operating System,Google,4.6,Beginner , Course , 1-4 Weeks ,"1,8k reseñas",Coursera,,,,,,
Analyze Datasets and Train ML Models using AutoML,DeepLearning.AI,4.8,Mixed , Course , 1-3 Months ,477 reseñas,Coursera,,,,,,
تحليلات البيانات من Google,Google,4.7,Mixed , Course , 1-3 Months ,,Coursera,,,,,,
Google UX Design (DE),Google,4.6,Intermediate , Specialization , 3-6 Months ,"3,6k reseñas",Coursera,,,,,,
C Programming with Linux,Dartmouth College,4.8,Mixed , Course , 1-4 Weeks ,"2,8k reseñas",Coursera,,,,,,
Clinical Terminology for International and U.S. Students,University of Pittsburgh,4.8,Beginner , Course , 1-4 Weeks ,18 reseñas,Coursera,,,,,,
"Make the Sale: Build, Launch, and Manage E-commerce Stores",Google,4.6,Beginner , Specialization , 1-3 Months ,"2,6k reseñas",Coursera,,,,,,
Data-Driven Decision Making (DDDM),University at Buffalo,4.7,Beginner , Course , 1-4 Weeks ,"1,5k reseñas",Coursera,,,,,,
Embedding Sensors and Motors,University of Colorado Boulder,4.8,Intermediate , Course , 1-4 Weeks ,"11,4k reseñas",Coursera,,,,,,
Fundamentals of Reinforcement Learning,University of Alberta,4.5,Beginner , Course , 1-3 Months ,2k reseñas,Coursera,,,,,,
"Python, Bash and SQL Essentials for Data Engineering",Duke University,4.7,Beginner , Course , 1-3 Months ,510 reseñas,Coursera,,,,,,
Introduction to Finance: The Basics,University of Illinois at Urbana-Champaign,4.7,Beginner , Specialization , 3-6 Months ,"16,8k reseñas",Coursera,,,,,,
Fundamentals of Immunology,Rice University,4.6,Beginner , Course , 1-3 Months ,"6,6k reseñas",Coursera,,,,,,
Sales and CRM Overview,Salesforce,4.6,Beginner , Specialization , 3-6 Months ,"5,3k reseñas",Coursera,,,,,,
Digital Marketing Strategy and Planning,Digital Marketing Institute,4.8,Beginner , Course , 1-3 Months ,,Coursera,,,,,,
Industrial Biotechnology,University of Manchester,4.7,Advanced , Course , 1-4 Weeks ,56 reseñas,Coursera,,,,,,
Finance for Technical Managers,University of Colorado Boulder,4.7,Beginner , Professional Certificate , 3-6 Months ,192 reseñas,Coursera,,,,,,
Value-Based Care,University of Houston,3.9,Beginner , Specialization , 3-6 Months ,24 reseñas,Coursera,,,,,,
Machine Learning for Trading,New York Institute of Finance,4.8,Beginner , Professional Certificate , 3-6 Months ,134 reseñas,Coursera,,,,,,
Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,4.8,Beginner , Specialization , 3-6 Months ,"2,9k reseñas",Coursera,,,,,,
International Leadership and Organizational Behavior,Università Bocconi,4.8,Beginner , Course , 1-3 Months ,431 reseñas,Coursera,,,,,,
AI For Everyone （すべての人のためのAIリテラシー講座）,DeepLearning.AI,4.6,Beginner , Course , 1-4 Weeks ,285 reseñas,Coursera,,,,,,
Palo Alto Networks Cybersecurity,Palo Alto Networks,4.2,Beginner , Specialization , 1-3 Months ,"2,6k reseñas",Coursera,,,,,,
Write Your First Novel,Michigan State University,4.8,Intermediate , Specialization , 3-6 Months ,"2,5k reseñas",Coursera,,,,,,
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,4.8,Intermediate , Course , 1-3 Months ,175 reseñas,Coursera,,,,,,
Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,4.7,Beginner , Specialization , 3-6 Months ,258 reseñas,Coursera,,,,,,
Cybersecurity Attack and Defense Fundamentals,EC-Council,4.4,Mixed , Course , 1-3 Months ,,Coursera,,,,,,
Financial Accounting Fundamentals,University of Virginia,4.5,Intermediate , Specialization , 3-6 Months ,554 reseñas,Coursera,,,,,,
Data Warehousing for Business Intelligence,University of Colorado System,4.2,Beginner , Course , 1-4 Weeks ,241 reseñas,Coursera,,,,,,
Trading Strategies in Emerging Markets,Indian School of Business,4.5,Beginner , Specialization , 1-3 Months ,"6,1k reseñas",Coursera,,,,,,
Fundamentos de Ciencia de Datos con Python y SQL,IBM Skills Network,4.6,Beginner , Course , 1-3 Months ,"2,9k reseñas",Coursera,,,,,,
Understanding Research Methods,University of London,4.7,Beginner , Course , 1-3 Months ,36 reseñas,Coursera,,,,,,
Competitive Strategy and Organization Design,Ludwig-Maximilians-Universität München (LMU),4.7,Beginner , Specialization , 3-6 Months ,200 reseñas,Coursera,,,,,,
Organizational Change and Culture for Adopting Google Cloud,Google Cloud,4.7,Beginner , Specialization , 3-6 Months ,1k reseñas,Coursera,,,,,,
"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,4.8,Intermediate , Specialization , 1-3 Months ,3k reseñas,Coursera,,,,,,
Marketing Digital,Universidade de São Paulo,4.8,Beginner , Course , 1-3 Months ,"2,9k reseñas",Coursera,,,,,,
SAP Professional Fundamentals,SAP,4.8,Mixed , Course , 1-3 Months ,221 reseñas,Coursera,,,,,,
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,4.5,Beginner , Course , 1-3 Months ,277 reseñas,Coursera,,,,,,
Python for Cybersecurity,Infosec,4.7,Beginner , Professional Certificate , 3-6 Months ,,Coursera,,,,,,
Business Analytics with Excel: Elementary to Advanced,Johns Hopkins University,4.9,Beginner , Course , 3-6 Months ,4k reseñas,Coursera,,,,,,
Programming with Google Go,"University of California, Irvine",4.8,Mixed , Course , 1-3 Months ,"1,1k reseñas",Coursera,,,,,,
Nuts and Bolts of U.S. Immigration Law,University of Pennsylvania,4.9,Beginner , Course , 1-3 Months ,52 reseñas,Coursera,,,,,,
International Organizations Management,University of Geneva,4.9,Beginner , Specialization , 3-6 Months ,"7,1k reseñas",Coursera,,,,,,
Dino 101: Dinosaur Paleobiology,University of Alberta,4.5,Intermediate , Specialization , 3-6 Months ,"2,3k reseñas",Coursera,,,,,,
Fundamentos de la gestión de proyectos,Google,4.7,Beginner , Course , 1-3 Months ,"3,8k reseñas",Coursera,,,,,,
Digital Signal Processing,École Polytechnique Fédérale de Lausanne,4.5,Advanced , Specialization , 3-6 Months ,"2,5k reseñas",Coursera,,,,,,
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,4.9,Beginner , Specialization , 3-6 Months ,286 reseñas,Coursera,,,,,,
Advanced Machine Learning on Google Cloud,Google Cloud,4.7,Beginner , Specialization , 3-6 Months ,"6,6k reseñas",Coursera,,,,,,
Moral Foundations of Politics,Yale University,4.7,Mixed , Course , 1-4 Weeks ,"3,6k reseñas",Coursera,,,,,,
Sports Marketing,Northwestern University,4.4,Intermediate , Specialization , 3-6 Months ,"3,4k reseñas",Coursera,,,,,,
AI for Medical Diagnosis,DeepLearning.AI,4.8,Beginner , Specialization , 3-6 Months ,,Coursera,,,,,,
Fundamentals of Computing,Rice University,4.7,Mixed , Course , 1-3 Months ,"2,1k reseñas",Coursera,,,,,,
Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,4.5,Beginner , Course , 1-3 Months ,85 reseñas,Coursera,,,,,,
Agile Leadership,University of Colorado System,4.7,Beginner , Course , 1-3 Months ,1k reseñas,Coursera,,,,,,
Data Science Math Skills,Duke University,4.7,Mixed , Course , 1-3 Months ,276 reseñas,Coursera,,,,,,
Immunology: The Immune System and its Failures,Imperial College London,4.6,Intermediate , Specialization , 3-6 Months ,"8,7k reseñas",Coursera,,,,,,
Healthcare Law,University of Pennsylvania,4.9,Mixed , Course , 3-6 Months  ,,Coursera,,,,,,
An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",4.6, Intermediate , Specialization , 3-6 Months,"2,5k reseñas",Coursera,,,,,,
Doing more with Google Sheets,Google Cloud,4.9, Intermediate , Course , 1-4 Weeks,55 reseñas,Coursera,,,,,,
Suporte em TI do Google,Google,4.8, Beginner , Course , 1-3 Months,"1,6k reseñas",Coursera,,,,,,
Introductory C Programming,Duke University,4.6, Beginner , Course , 1-3 Months,"3,3k reseñas",Coursera,,,,,,
Excel Skills for Business: Intermediate I,Macquarie University,4.9, Beginner , Course , 1-4 Weeks,"2,8k reseñas",Coursera,,,,,,
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,4.9, Intermediate , Specialization , 3-6 Months,614 reseñas,Coursera,,,,,,
Introduction to Corporate Finance,University of Pennsylvania,4.7, Beginner , Course , 1-3 Months,"2,9k reseñas",Coursera,,,,,,
COVID-19 Contact Tracing,Johns Hopkins University,4.8, Advanced , Specialization , 3-6 Months,"1,4k reseñas",Coursera,,,,,,
Social Media Management,Meta,4.5, Mixed , Course , 1-3 Months,"5,3k reseñas",Coursera,,,,,,
Microsoft Azure AI Fundamentals AI-900 Exam Prep,Microsoft,4.4, Intermediate , Course , 1-3 Months,"1,1k reseñas",Coursera,,,,,,
English for Business and Entrepreneurship,University of Pennsylvania,4.8, Intermediate , Course , 1-4 Weeks,"1,8k reseñas",Coursera,,,,,,
Data Visualization with Python,IBM Skills Network,4.5, Beginner , Specialization , 3-6 Months,197 reseñas,Coursera,,,,,,
Advanced Statistics for Data Science,Johns Hopkins University,4.4, Beginner , Specialization , 3-6 Months,"3,9k reseñas",Coursera,,,,,,
Using Python to Access Web Data,University of Michigan,4.7, Beginner , Course , 1-4 Weeks,841 reseñas,Coursera,,,,,,
Marketing Strategy,IE Business School,4.6, Beginner , Specialization , 3-6 Months,"1,2k reseñas",Coursera,,,,,,
Improving Leadership & Governance in Nonprofit Organizations,University at Buffalo,4.8, Beginner , Course , 1-3 Months,11k reseñas,Coursera,,,,,,
"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,4.6,Intermediate , Specialization , 3-6 Months ,,Coursera,,,,,,
Claves de la Dirección de Empresas,IESE Business School,4.3,Intermediate , Specialization , 3-6 Months ,"19,3k reseñas",Coursera,,,,,,
Advanced Business Analytics,University of Colorado Boulder,4.8,Beginner , Specialization , 3-6 Months ,"1,3k reseñas",Coursera,,,,,,
Introduction to Technical Support,IBM Skills Network,4.7,Beginner , Course , 1-3 Months ,"4,5k reseñas",Coursera,,,,,,
Introduction to Quantum Information,Korea Advanced Institute of Science and Technology(KAIST),4.7,Beginner , Professional Certificate , 3-6 Months ,"6,9k reseñas",Coursera,,,,,,
"Introduction to Financial Analysis - The ""Why?""",University of Illinois at Urbana-Champaign,4.6,Beginner , Specialization , 3-6 Months ,"15,8k reseñas",Coursera,,,,,,
Code Yourself! An Introduction to Programming,The University of Edinburgh,4.6,Intermediate , Course , 1-3 Months ,5k reseñas,Coursera,,,,,,
Visual Elements of User Interface Design,California Institute of the Arts,4.8,Intermediate , Course , 1-4 Weeks ,"5,6k reseñas",Coursera,,,,,,
"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,4.7,Mixed , Course , 1-4 Weeks ,"94,8k reseñas",Coursera,,,,,,
Computational Social Science,"University of California, Davis",4.8,Beginner , Course , 1-3 Months ,"3,8k reseñas",Coursera,,,,,,
Circular Economy - Sustainable Materials Management,Lund University,4.7,Beginner , Course , 1-4 Weeks ,399 reseñas,Coursera,,,,,,
Work Smarter with Microsoft Word,Microsoft,4.7,Beginner , Specialization , 3-6 Months ,"4,5k reseñas",Coursera,,,,,,
Oil & Gas Industry Operations and Markets,Duke University,4.5,Beginner , Course , 1-3 Months ,,Coursera,,,,,,
Business and Marketing Strategies,University of London,4.4,Intermediate , Course , 1-3 Months ,692 reseñas,Coursera,,,,,,
Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,4.6,Advanced , Specialization , 3-6 Months ,"43,1k reseñas",Coursera,,,,,,
Aboriginal Worldviews and Education,University of Toronto,4.6,Mixed , Course , 1-3 Months ,"5,6k reseñas",Coursera,,,,,,
WhatsApp Business Platform for Developers,Meta,4.3,Beginner , Specialization , 3-6 Months ,209 reseñas,Coursera,,,,,,
From Data to Insights with Google Cloud,Google Cloud,4.7,Beginner , Specialization , 3-6 Months ,258 reseñas,Coursera,,,,,,
Natural Language Processing in TensorFlow,DeepLearning.AI,4.8,Intermediate , Course , 1-3 Months ,997 reseñas,Coursera,,,,,,
Natural Language Processing with Attention Models,DeepLearning.AI,4.6,Beginner , Specialization , 3-6 Months ,"3,2k reseñas",Coursera,,,,,,
Bases de Inteligencia Artificial para Todos,IBM Skills Network,4.4,Beginner , Specialization , 3-6 Months ,"4,9k reseñas",Coursera,,,,,,
Fundamentals of GIS,"University of California, Davis",4.7,Intermediate , Specialization , 3-6 Months ,278 reseñas,Coursera,,,,,,
Suicide Prevention,Wesleyan University,4.7,Beginner , Course , 1-3 Months ,56 reseñas,Coursera,,,,,,
Systems Biology and Biotechnology,Icahn School of Medicine at Mount Sinai,4.8,Advanced , Course , 1-3 Months ,37 reseñas,Coursera,,,,,,
Value Chain Management,University of Illinois at Urbana-Champaign,4.6,Beginner , Course , 1-4 Weeks ,,Coursera,,,,,,
Gender Analytics: Gender Equity through Inclusive Design,University of Toronto,4.8,Beginner , Course , 1-3 Months ,"5,4k reseñas",Coursera,,,,,,
Hands-on Introduction to Linux Commands and Shell Scripting,IBM Skills Network,4.8,Beginner , Course , 1-3 Months ,"2,3k reseñas",Coursera,,,,,,
"Introduction to Web Development with HTML, CSS, JavaScript",IBM Skills Network,4.8,Beginner , Course , 1-4 Weeks ,834 reseñas,Coursera,,,,,,
Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,4.2,Beginner , Specialization , 3-6 Months ,"1,7k reseñas",Coursera,,,,,,
Modern Big Data Analysis with SQL,Cloudera,4.7,Beginner , Course , 1-3 Months ,496 reseñas,Coursera,,,,,,
Science of Exercise,University of Colorado Boulder,4.8,Beginner , Course , 1-3 Months ,"5,4k reseñas",Coursera,,,,,,
Introduction to Spreadsheets and Models,University of Pennsylvania,3.9,Mixed , Course , 1-4 Weeks ,100 reseñas,Coursera,,,,,,
Work Smarter with Microsoft Excel,Microsoft,4.8,Beginner , Specialization , 3-6 Months ,33 reseñas,Coursera,,,,,,
Design a User Experience for Social Good & Prepare for Jobs,Google,4.9,Beginner , Specialization , 3-6 Months ,817 reseñas,Coursera,,,,,,
Spring Framework,LearnQuest,4.5,Intermediate , Course , 1-3 Months ,408 reseñas,Coursera,,,,,,
Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,4.7,Mixed , Course , 1-3 Months ,15 reseñas,Coursera,,,,,,
Introduction to Forensic Science,"Nanyang Technological University, Singapore",4.8,Intermediate , Course , 1-4 Weeks ,,Coursera,,,,,,
Sales Training for High Performing Teams,HubSpot Academy,4.8,Beginner , Specialization , 3-6 Months ,"6,1k reseñas",Coursera,,,,,,
Solar Energy Basics,The State University of New York,4.7,Intermediate , Course , 1-4 Weeks ,840 reseñas,Coursera,,,,,,
Creative Thinking: Techniques and Tools for Success,Imperial College London,4.7,Intermediate , Course , 1-4 Weeks ,375 reseñas,Coursera,,,,,,
Health Behavior Change: From Evidence to Action,Yale University,4.8,Beginner , Professional Certificate , 3-6 Months ,"5,2k reseñas",Coursera,,,,,,
Diversity and Inclusion for HR Professionals,"University of California, Irvine",4.7,Beginner , Course , 1-4 Weeks ,86 reseñas,Coursera,,,,,,
Improving Communication Skills,University of Pennsylvania,4.7,Beginner , Course , 1-4 Weeks ,901 reseñas,Coursera,,,,,,
Leading Diverse Teams & Organizations,University of Michigan,4.5,Intermediate , Specialization , 3-6 Months ,"4,7k reseñas",Coursera,,,,,,
"Sequences, Time Series and Prediction",DeepLearning.AI,4.8,Intermediate , Specialization , 3-6 Months ,"1,3k reseñas",Coursera,,,,,,
"Energy Production, Distribution & Safety",University at Buffalo,4.8,Beginner , Course , 1-4 Weeks ,368 reseñas,Coursera,,,,,,
Health Information Literacy for Data Analytics,"University of California, Davis",4.8,Beginner , Specialization , 3-6 Months ,606 reseñas,Coursera,,,,,,
Mindfulness and Well-being,Rice University,4.8,Beginner , Course , 1-4 Weeks ,986 reseñas,Coursera,,,,,,
Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,4.7,Beginner , Course , 1-3 Months ,,Coursera,,,,,,
TensorFlow 2 for Deep Learning,Imperial College London,4.8,Intermediate , Course , 1-3 Months ,"1,4k reseñas",Coursera,,,,,,
Machine Learning for All,University of London,4.7,Beginner , Specialization , 3-6 Months ,"4,3k reseñas",Coursera,,,,,,
Construction Project Management,Columbia University,4.7,Beginner , Course , 1-4 Weeks ,"3,7k reseñas",Coursera,,,,,,
Satisfaction Guaranteed: Develop Customer Loyalty Online,Google,4.8,Mixed , Course , 1-4 Weeks ,777 reseñas,Coursera,,,,,,
International Marketing & Cross Industry Growth,Yonsei University,4.7,Beginner , Course , 1-3 Months ,2k reseñas,Coursera,,,,,,
Strategic Management and Innovation,Copenhagen Business School,4.8,Beginner , Course , 1-3 Months ,330 reseñas,Coursera,,,,,,
SAS Advanced Programmer,SAS,4.7,Beginner , Specialization , 1-3 Months ,"1,5k reseñas",Coursera,,,,,,
Software Development Lifecycle,University of Minnesota,4.8,Beginner , Course , 1-3 Months ,2k reseñas,Coursera,,,,,,
Leading: Human Resource Management and Leadership,Macquarie University,4.8,Mixed , Course , 1-3 Months ,125 reseñas,Coursera,,,,,,
Power Electronics,University of Colorado Boulder,4.7,Beginner , Specialization , 1-3 Months ,894 reseñas,Coursera,,,,,,
Foundations of Public Health Practice,Imperial College London,4.7,Beginner , Specialization , 1-3 Months ,"2,2k reseñas",Coursera,,,,,,
Excel Fundamentals for Data Analysis,Macquarie University,4.7,Beginner , Course , 1-3 Months ,,Coursera,,,,,,
Qualitative Research Design and Methods for Public Health,Emory University,4.5,Beginner , Course , 1-3 Months ,280 reseñas,Coursera,,,,,,
A Crash Course in Causality: Inferring Causal Effects from Observational Data,University of Pennsylvania,4.5,Beginner , Course , 1-3 Months ,132 reseñas,Coursera,,,,,,
"Aspectos básicos: Datos, datos, en todas partes",Google,4.9,Beginner , Course , 1-4 Weeks ,"1,8k reseñas",Coursera,,,,,,
Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate 日本語版,Google Cloud,4.6,Beginner , Course , 1-4 Weeks ,213 reseñas,Coursera,,,,,,
Leverage Data Science for a More Agile Supply Chain,"University of California, Irvine",3.8,Mixed , Course , 1-4 Weeks ,"4,7k reseñas",Coursera,,,,,,
Uncommon Sense Teaching,Deep Teaching Solutions,4.7,Intermediate , Course , 1-4 Weeks ,10k reseñas,Coursera,,,,,,
Computational Neuroscience,University of Washington,4.7,Beginner , Specialization , 3-6 Months ,191 reseñas,Coursera,,,,,,
Google Project Management (DE),Google,4.5,Intermediate , Specialization , 3-6 Months ,893 reseñas,Coursera,,,,,,
Introduction to Software Engineering,IBM Skills Network,4.6,Beginner , Specialization , 3-6 Months ,"5,8k reseñas",Coursera,,,,,,
Network Security & Database Vulnerabilities,IBM,4.7,Mixed , Course , 1-3 Months ,"1,6k reseñas",Coursera,,,,,,
Social Media Marketing in Practice,Digital Marketing Institute,4.4,Beginner , Course , 1-3 Months ,635 reseñas,Coursera,,,,,,
"Penetration Testing, Incident Response and Forensics",IBM,4.8,Intermediate , Specialization , 3-6 Months ,,Coursera,,,,,,
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,4.6,Beginner , Course , 1-4 Weeks ,"5,8k reseñas",Coursera,,,,,,
21st Century Energy Transition: how do we make it work?,University of Alberta,4.6,Beginner , Course , 1-3 Months ,844 reseñas,Coursera,,,,,,
"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology,4.6,Beginner , Course , 1-4 Weeks ,"2,1k reseñas",Coursera,,,,,,
Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,HEC Paris,4.7,Beginner , Specialization , 3-6 Months ,"4,6k reseñas",Coursera,,,,,,
The Fundamentals of Personal Finance,SoFi,4.5,Beginner , Specialization , 3-6 Months ,308 reseñas,Coursera,,,,,,
C++ Programming for Unreal Game Development,University of Colorado System,4.6,Intermediate , Professional Certificate , 3-6 Months ,"8,6k reseñas",Coursera,,,,,,
An Introduction to Accessibility and Inclusive Design,University of Illinois at Urbana-Champaign,4.5,Intermediate , Specialization , 3-6 Months ,"2,9k reseñas",Coursera,,,,,,
Fundamentals of Music Theory,The University of Edinburgh,4.5,Intermediate , Specialization , 3-6 Months ,"3,9k reseñas",Coursera,,,,,,
Content Strategy for Professionals,Northwestern University,4.5,Intermediate , Specialization , 3-6 Months ,469 reseñas,Coursera,,,,,,
Business Sustainability in the Circular Economy,University of London,4.5,Beginner , Specialization , 3-6 Months ,"3,1k reseñas",Coursera,,,,,,
Android App Development,Vanderbilt University,4.7,Intermediate , Course , 1-3 Months ,718 reseñas,Coursera,,,,,,
Creativity and AI,"Parsons School of Design, The New School",4.4,Beginner , Specialization , 3-6 Months ,,Coursera,,,,,,
The Social Context of Mental Health and Illness,University of Toronto,4.5,Beginner , Specialization , 3-6 Months ,489 reseñas,Coursera,,,,,,
Digital Transformation in Financial Services,Copenhagen Business School,4.8,Intermediate , Course , 1-3 Months ,"2,7k reseñas",Coursera,,,,,,
Version Control with Git,Atlassian,4.8,Beginner , Course , 1-3 Months ,283 reseñas,Coursera,,,,,,
Data Science with Databricks for Data Analysts,Databricks,4.7,Intermediate , Professional Certificate , 3-6 Months ,47 reseñas,Coursera,,,,,,
Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,4.8,Intermediate , Specialization , 1-3 Months ,537 reseñas,Coursera,,,,,,
"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,4.8,Beginner , Specialization , 1-3 Months ,1k reseñas,Coursera,,,,,,
Google Cloud Fundamentals: Core Infrastructure,Google Cloud,4.6,Beginner , Course , 1-3 Months ,23 reseñas,Coursera,,,,,,
Introduction to Engineering Mechanics,Georgia Institute of Technology,4.8,Beginner , Professional Certificate , 3-6 Months ,103 reseñas,Coursera,,,,,,
English for Journalism,University of Pennsylvania,4.8,Beginner , Course , 1-3 Months ,"2,8k reseñas",Coursera,,,,,,
Six Sigma Principles,University System of Georgia,4.6,Beginner , Course , 1-4 Weeks ,199 reseñas,Coursera,,,,,,
"Organizational Leadership in Diversity, Equity & Inclusion",Rice University,4.7,Beginner , Specialization , 3-6 Months ,"1,9k reseñas",Coursera,,,,,,
Introduction to Hardware and Operating Systems,IBM Skills Network,4.8,Beginner , Course , 1-4 Weeks ,,Coursera,,,,,,
Medical Cannabis: The Health Effects of THC and CBD,University of Colorado Boulder,4.7,Intermediate , Specialization , 3-6 Months ,"3,6k reseñas",Coursera,,,,,,
What is Compliance?,University of Pennsylvania,4.7,Intermediate , Course , 1-4 Weeks ,28 reseñas,Coursera,,,,,,
"GIS, Mapping, and Spatial Analysis",University of Toronto,4.8,Beginner , Course , 1-3 Months ,"2,7k reseñas",Coursera,,,,,,
ADHD: Everyday Strategies for Elementary Students,University at Buffalo,4.5,Beginner , Course , 1-4 Weeks ,719 reseñas,Coursera,,,,,,
Initiating and Planning Projects,"University of California, Irvine",4.8,Intermediate , Course , 1-4 Weeks ,176 reseñas,Coursera,,,,,,
Essentials in Clinical Simulations Across the Health Professions,The George Washington University,4.7,Beginner , Specialization , 3-6 Months ,116 reseñas,Coursera,,,,,,
Machine Learning Introduction for Everyone,IBM Skills Network,4.8,Intermediate , Specialization , 3-6 Months ,173 reseñas,Coursera,,,,,,
Innovation: From Creativity to Entrepreneurship,University of Illinois at Urbana-Champaign,4.8,Beginner , Course , 1-3 Months ,"1,6k reseñas",Coursera,,,,,,
Instructional Methods in Health Professions Education,University of Michigan,4.8,Beginner , Course , 1-3 Months ,845 reseñas,Coursera,,,,,,
Preparing to Manage Human Resources,University of Minnesota,4.4,Beginner , Specialization , 3-6 Months ,103 reseñas,Coursera,,,,,,
Feedback Loops: How to Give & Receive High-Quality Feedback,University of Michigan,4.7,Beginner , Course , 1-4 Weeks ,"3,5k reseñas",Coursera,,,,,,
Python Basics,University of Michigan,4.6,Beginner , Specialization , 3-6 Months ,,Coursera,,,,,,
Finance for Non-Financial Managers,Emory University,4.7,Intermediate , Specialization , 3-6 Months ,277 reseñas,Coursera,,,,,,
Managerial Economics and Business Analysis,University of Illinois at Urbana-Champaign,4.5,Intermediate , Specialization , 3-6 Months ,481 reseñas,Coursera,,,,,,
Machine Learning,University of Washington,4.5,Mixed , Course , 1-3 Months ,"1,8k reseñas",Coursera,,,,,,
How to Start Your Own Business,Michigan State University,4.8,Beginner , Specialization , 3-6 Months ,"2,8k reseñas",Coursera,,,,,,
Global Diplomacy: the United Nations in the World,University of London,4.8,Mixed , Course , 1-4 Weeks ,463 reseñas,Coursera,,,,,,
Microsoft Azure Developer Associate (AZ-204),Microsoft,4.7,Intermediate , Specialization , 3-6 Months ,880 reseñas,Coursera,,,,,,
Sustainable Cities,Johns Hopkins University,4.3,Beginner , Course , 1-4 Weeks ,"1,5k reseñas",Coursera,,,,,,
Epidemiology for Public Health,Imperial College London,4.6,Beginner , Course , 1-3 Months ,"46,7k reseñas",Coursera,,,,,,
Spanish for Successful Communication in Healthcare Settings,Rice University,4.8,Beginner , Course , 1-3 Months ,"4,6k reseñas",Coursera,,,,,,
