,course_title,course_organization,course_price,course_students_enrolled,course_description,course_Certificate_type,course_difficulty,course_rating
405,Diseño de mundos imaginarios para cómics,Un curso de Liam Sharp,"15,99€",1117,Mejora tus habilidades narrativas y explora técnicas de ilustración para crear escenas creíbles y llenas de detalles en tus cómics y otras obras artísticas,,,
406,Introducción al growth marketing para productos digitales,Un curso de Charly Rubio,"15,99€",287,Aprende paso a paso todo el proceso para promover el crecimiento continuo y consistente de un producto o negocio digital,,,
407,Pintura de paisajes urbanos con gouache,Un curso de Tommy Kim,"15,99€",3492,Aprende a pintar tu entorno mediante técnicas de gouache y crea una panorámica urbana llena de colores y texturas,,,
408,Joyería de metal con bordados,Un curso de Pimienta Joyería,"23,99€",922,Aprende a crear joyas paso a paso que combinen técnicas básicas en metal con el bordado tradicional a mano,,,
409,Diseño digital de moda con Cinema 4D y CLO 3D,Un curso de Max Salzborn,"23,99€",1233,Aprende a crear moda digital desde cero combinando las posibilidades del diseño virtual con las texturas realistas,,,
410,Fotomontaje avanzado con Photoshop: crea mundos imaginarios,Un curso de Nick Pedersen,"15,99€",876,Aprende a usar Photoshop de forma avanzada para diseñar escenas ambientales y crear fotomontajes digitales con precisión y atención al detalle,,,
411,Introducción a la escritura de historias de terror juveniles,Un curso de Raquel Castro,"19,99€",428,Aprende las mejores estrategias para escribir desde cero relatos llenos de terror que inviten a los jóvenes a leerlos una y otra vez,,,
412,Ilustración con tinta: desarrolla tu lenguaje visual,Un curso de Simon Prades,"15,99€",740,Aprende a crear ilustraciones personales llenas de profundidad y contraste utilizando líneas y capas de tinta de colores,,,
413,Live mixing: crea tu primer DJ set con Pioneer DJ,Un curso de Sara de Araújo,"15,99€",1878,Aprende todo lo necesario sobre técnicas de pista para contar una historia con ritmos y melodías a través de tu propio DJ set,,,
414,Sketching de personas con acuarela,Un curso de Marcus Penna,"15,99€",1908,Aprende a dibujar personas desde cero empleando técnicas de ilustración con acuarela,,,
415,Estrategias de storytelling para reels de Instagram,Un curso de Natasha Samuel,"15,99€",1936,"Descubre estrategias de storytelling en Instagram y aprende a grabar, editar y compartir contenidos de video para aumentar tu audiencia e impulsar tu negocio",,,
416,Introducción al diseño gráfico minimalista,Un curso de Rafael Bernardo,"23,99€",627,Entrena tu percepción y aprende a realizar diseños claros y expresivos a partir de formas básicas,,,
417,Diseño de producto con espuma de poliuretano,Un curso de Matteo Pellegrino,"18,99€",498,"Aprende a usar la espuma de poliuretano de dos componentes para construir objetos y muebles, desde el bocetado y coloreado hasta la aplicación de la espuma y su desmolde",,,
418,Bordado con materiales orgánicos alternativos,Un curso de Hillary Waters Fayle,"21,99€",2707,Aprende un nuevo método de bordado con materiales poco convencionales para coser piezas únicas y sorprendentes,,,
419,Ilustración de libros infantiles con Photoshop,Un curso de Eric Castleman,"19,99€",429,Aprende a recrear técnicas de pintura tradicionales con herramientas digitales para crear ilustraciones llenas de colores y texturas,,,
420,Lettering digital con toques analógicos,Un curso de Rafa Miguel // HUESO,"14,99€",150,Aprende a diseñar composiciones tipográficas potentes en Procreate jugando con letras digitales y texturas analógicas,,,
421,Introducción a la realización cinematográfica con smartphone,Un curso de Cassius Rayner,"14,99€",3929,Aprende a realizar videos cinematográficos atractivos desde cero con iPhone o Android y cuenta una historia con tu smartphone,,,
422,Técnicas de bordado para motivos florales en fieltro,Un curso de Defne Güntürkün,"15,99€",1150,"Aprende a crear con fieltro parches únicos de patrones florales explorando técnicas de bordado, composición y color",,,
423,Bordado freestyle sobre tul para principiantes,Un curso de Ignacia Jullian,"15,99€",2947,Aprende a hacer realidad tu propio diseño sobre tul y todas las posibilidades que ofrece este material para después integrarlo en el soporte que prefieras,,,
424,Volumen y textura en Cinema 4D: transforma un objeto,Un curso de Marius Visual Arts,"15,99€",282,Vuelve a tu yo de la infancia mientras aprendes a modelar un divertido objeto pop en 3D con Cinema 4D y OctaneRender,,,
425,Diseño editorial: cómo crear una revista,Un curso de Lars Harmsen,"17,99€",2221,"Descubre el proceso de creación de una revista junto con el fundador y editor de Slanted Publishers, mientras exploras el diseño, color y tipografía",,,
426,Producción audiovisual publicitaria para redes sociales desde cero,Un curso de Ojo Con Oscar,"18,99€",1494,"Aprende a crear material audiovisual de alto impacto con recursos a tu alcance, ya sea para tu perfil personal o para promocionar una marca",,,
427,Diseño gráfico para marcas: crea soluciones visuales desde cero,Un curso de SHN,"21,99€",110,"Aprende a crear una serie de piezas gráficas a partir de un icono universal y transforma una marca de manera creativa, desde el brief hasta la aplicación final",,,
428,Diseño y encuadernación de fotolibros,Un curso de Roberta Donatini,"21,99€",1044,"Aprende a crear un fotolibro, desde la selección de imágenes, formato y diseño hasta la elección del papel y la encuadernación de la maqueta",,,
429,Introducción a la animación de fotos con Photoshop y After Effects,Un curso de Andrei Franz Mallmann,"21,99€",1368,Aprende técnicas para dar vida a tus imágenes y crear efectos sorprendentes con Photoshop y After Effects,,,
430,Creación de lámparas colgantes tejidas,Un curso de Julie Robert,"18,99€",381,Aprende a crear una lámpara contemporánea de forma circular tejida con cuerdas gruesas y lana mechada,,,
431,Retratos de mascotas: técnicas para bordar pelaje,Un curso de Santo Cielo,"19,99€",1043,Aprende técnicas de bordado para recrear el pelaje y aportar textura a tus retratos realistas de animales,,,
432,Creación de bisutería de papel con técnicas de origami,Un curso de Mayumi Fukuda,"18,99€",3771,Aprende a crear accesorios delicados y resistentes al agua con técnicas japonesas tradicionales de papiroflexia y motivos pintados a mano,,,
433,Cómic autobiográfico para ilustrar tus experiencias,Un curso de Alec Longstreth,"21,99€",1442,"Aprende a escribir, dibujar y entintar un cómic basado en tus experiencias personales, desde la idea original a la página final",,,
434,Ilustración digital de personajes manga,Un curso de Catalina Carlesi,"16,99€",8612,Aprende a utilizar herramientas digitales para dar vida a protagonistas llenos de detalles y expresividad,,,
435,Ilustración retrofuturista con Procreate,Un curso de Ada Zielinska,"21,99€",3044,"Explora composición, colores, contraste y texturas para crear ilustraciones futuristas de inspiración retro",,,
436,Retratos artísticos: explora la edición fotográfica digital,Un curso de Andres Marti,"15,99€",651,Explora el collage y técnicas digitales para transformar tus imágenes en retratos artísticos únicos con Photoshop y Camera Raw,,,
437,Amigurumis: personas tejidas a crochet,Un curso de Lhylaraña,"14,99€",11327,Aprende a tejer amigurumis con forma humana a partir de un mismo cuerpo base y retrata a quien tú quieras con hilo y aguja,,,
438,Madera como material textil: crea piezas en 3D,Un curso de Tesler + Mendelovitch,"21,99€",4189,"Aprende a convertir la madera en un material textil a partir de medir, cortar y unir chapas flexibles para crear estructuras con volumen",,,
439,Impresión 3D para joyería y accesorios,Un curso de María Romero Laspiur,"15,99€",1073,Iníciate en el mundo de la impresión 3D y convierte tus diseños en complementos originales llenos de color y textura,,,
440,Ilustración digital con técnicas japonesas de pintura con tinta,Un curso de Yohey Horishita,"21,99€",882,"Descubre la ilustración ""tradigital"" y combina técnicas tradicionales con herramientas digitales para crear obras contemporáneas inspiradas en motivos japoneses",,,
441,Lettering manual retro: abraza la imperfección,Un curso de Jay Roeder,"19,99€",813,"Aprende técnicas de lettering manual para crear composiciones originales de palabras, letras y frases que reflejen tu estilo personal",,,
442,Técnicas de gouache para ilustración,Un curso de Emma Block,"18,99€",7845,"Aprende a pintar con gouache y explora diferentes colores, texturas y pinceladas utilizando tu sketchbook como lienzo",,,
443,Personajes fantásticos con tinta y acuarela,Un curso de Chuma Hill,"18,99€",878,"Aprende a ilustrar personajes increíbles con volumen, textura, movimiento y mucho color, usando técnicas como las acuarelas, tinta, lápices o tramas",,,
444,Diseño de colecciones cerámicas mediante moldeo por colada,Un curso de Avi Ben Shoshan,"21,99€",1011,"Diseña moldes sencillos pero versátiles con los que crear tu propia colección cerámica usando el design thinking, el colado en molde y técnicas de color",,,
445,Ilustración manga con Procreate,Un curso de Liya,"15,99€",4669,"Aprende a ilustrar escenas ambientales con elementos manga desde cero, desde la composición y el diseño de personajes hasta el line art y el sombreado",,,
446,Bordado con pedrería: crea accesorios para el pelo,Un curso de MULATT,"15,99€",3430,Aprende técnicas de bordado manual con pedrería y diseña piezas llenas de brillo y personalidad para decorar tu cabello,,,
447,Fotografía urbana de viajes para Instagram,Un curso de Elaine Li,"15,99€",1912,Aprende a capturar la esencia de tus viajes explorando técnicas de fotografía nocturna y diurna para generar conexiones auténticas con tus seguidores,,,
448,Bordado en doble bastidor con puntadas en relieve,Un curso de Señorita Lylo,"15,99€",939,Aprende técnicas avanzadas para crear puntadas con volumen y deja volar tu imaginación con el hilo y la aguja,,,
449,Introducción a la fotografía gastronómica con luz natural,Un curso de Adrian Mueller,"15,99€",1190,"Aprende a capturar imágenes atractivas de alimentos con luz directa e indirecta, explorando las técnicas de composición, iluminación y edición",,,
450,Pintura digital de personajes en Photoshop,Un curso de Fernanda Suarez,"18,99€",2901,"Aprende técnicas de pintura digital para crear detallados retratos de personajes y explora elementos como pinceles, colores, valores o diseño",,,
451,Diseño de emblemas a través del lettering,Un curso de Germán Rodríguez,"23,99€",215,"Aprende el método para crear insignias autopromocionales y sus variaciones con técnicas como el mind map o lettering, desde la idea hasta su aplicación final",,,
452,CRO: optimiza un e-commerce,Un curso de Jorge Hernández Losa,"15,99€",366,Aprende técnicas para potenciar la conversión de una tienda online y aumenta sus ventas y suscriptores,,,
453,Dibujo a mano alzada con acrílico y acuarela,Un curso de Mokshini,"19,99€",816,"Aprende a dibujar a partir de la observación y llena tus ilustraciones de color, luz y textura utilizando diferentes técnicas de pintura",,,
454,Diseño de lámparas en macramé,Un curso de Daniela Navas,"21,99€",2220,"Aprende técnicas, nudos y patrones para elaborar lámparas que decoren cualquier espacio",,,
455,Introducción a VFX en Maya y After Effects,Un curso de John Bashyam,"18,99€",590,Aprende a producir efectos especiales de principio a fin y crea un video realista con elementos surrealistas renderizando y componiendo secuencias de acción en vivo,,,
456,Ilustración: encuentra tu estilo distintivo,Un curso de Vidam,"23,99€",170,Aprende cómo observar e interpretar animales para crear ilustraciones experimentales que combinen técnicas digitales y analógicas,,,
457,Creación de sellos para composiciones ilustradas,Un curso de Viktoria Åström,"19,99€",1810,"Aprende a tallar a mano una colección de sellos de caucho e imprime varias composiciones, desde ilustraciones a sencillos motivos y patrones",,,
458,Creación de campañas de branded content,Un curso de Leo Farfán,"19,99€",423,Aprende a diseñar contenido relevante y no invasivo vinculado a marcas y crea tu primera campaña de branded content,,,
459,Técnicas de acuarela para portadas de cómic,Un curso de Tony Moy,"15,99€",578,Aprende a pintar portadas de cómic dinámicas y atractivas con acuarela y dales vida a través de la posproducción digital,,,
460,Diseño con papel maché: experimenta con luz y color,Un curso de Marco Zavagno,"21,99€",1058,"Aprende a utilizar el cartón para convertir tus ideas en formas tridimensionales y juega con el papel maché, la luz y el color",,,
461,Pintura digital en Photoshop: aprende los secretos de la luz y el color,Un curso de Paulo Torinno,"15,99€",908,Explora el potencial del color y la luz para pintar escenas impactantes en Adobe Photoshop,,,
462,Diseño de amigurumis: crea personajes de crochet,Un curso de Elisa Ems-Domenig,"21,99€",3044,Aprende cómo tejer paso a paso animales divertidos con un solo hilo y crea diseños que reflejen tu personalidad,,,
463,Iluminación profesional para fotografía de estudio,Un curso de Scott McDermott,"15,99€",3232,Aprende las bases de la iluminación y practica con una variedad de fuentes y configuraciones que lleven tus sesiones de fotos a otro nivel,,,
464,"Ilustración textil con acrílico, fieltro y bordado",Un curso de Juanamatú (Katerin J Gómez),"21,99€",461,"Aprende a crear ilustraciones únicas con técnicas mixtas, desde pintar con acrílico sobre tela y fieltrar con lana, hasta rematar todo con bordado",,,
465,Estrategias de TikTok para principiantes,Un curso de Molly McGlew,"15,99€",1907,Aprende a entender el algoritmo de TikTok para desarrollar estrategias de contenido y métricas que te permitan ampliar tu comunidad en la plataforma,,,
466,Ilustración de animales fantásticos en Procreate,Un curso de Julia Körner,"21,99€",3989,"Usa la magia de Procreate para dar vida a personajes fantásticos mediante ilustraciones llamativas que reflejen poses, accesorios, colores e iluminación",,,
467,Impresión DIY de portadas de discos y chapas,Un curso de Paolo Proserpio,"14,99€",170,"Aprende técnicas de impresión DIY, como la térmica o la transfer, y crea gráficas para chapas y discos de grupos con Photoshop e Illustrator",,,
468,Fotografía de viajes con smartphone para principiantes,Un curso de Dan Tom,"14,99€",9012,"Descubre los principios de composición, iluminación y retoque en fotografía y aprende a tomar imágenes impactantes usando tan solo tu teléfono",,,
469,Lettering creativo: dibuja palabras con estilo,Un curso de Karol Stefanini,"15,99€",924,"Aprende a combinar textos, colores y otros elementos decorativos para dibujar letras atractivas en cualquier superficie",,,
470,Retrato fotográfico: de la dirección de arte al retoque,Un curso de Rayan Nohra,"21,99€",544,"Descubre técnicas para triunfar con tus retratos, desde la dirección del modelo al retoque fotográfico en Lightroom",,,
471,Macramé en 3D: crea tapices botánicos,Un curso de String Theories Fiber Design,"15,99€",2715,Aprende a tejer elementos botánicos de macramé en 3D con una variedad de técnicas como el nudo de ballestrinque o el nudo Alondra,,,
472,Ilustración de la naturaleza con acuarela y plumilla,Un curso de Katie Putt,"21,99€",1188,"Experimenta con la teoría del color y técnicas de pintura para representar la naturaleza con precisión, sutileza y belleza",,,
473,Decoración de galletas con royal icing para principiantes,Un curso de VanilleCouture (Lili Cuéllar y Willie Soto),"16,99€",21678,Aprende técnicas de decoración con glaseado para convertir tus galletas de mantequilla en deliciosos personajes,,,
474,Rebranding: crea identidades visuales eficientes,Un curso de Foresti Design,"18,99€",1490,"Aprende a realizar el rediseño de la identidad visual de una marca con una metodología creativa y eficiente, desde el brief hasta la presentación al cliente",,,
475,"Programación creativa 2.0 con JavaScript: animación, sonido y color",Un curso de Bruno Imbrizi,"16,99€",10216,"Descubre técnicas de programación creativa para crear imágenes en JavaScript que combinen color, movimiento y sonido",,,
476,Doblaje de voz para animación,Un curso de ISABEL MARTIÑÓN,"21,99€",5350,"Aprende a interpretar las emociones de tus personajes y realiza un doblaje fresco, ameno y original",,,
477,Pintura al óleo de la cultura pop con un toque surrealista,Un curso de Bob Dob,"15,99€",355,"Aprende a pintar al óleo retratos surrealistas inspirados en la cultura pop, desde la idea inicial hasta el barnizado final",,,
478,Estrategia editorial para crear contenidos de marca únicos,Un curso de Morgane Escoffier,"21,99€",277,Descubre los secretos de un buen brand content a través del desarrollo de una declaración de misión convincente y de contenido original para las redes sociales,,,
479,Marketing digital humanizado para redes sociales,Un curso de Robson Rodriguez,"15,99€",234,Aprender a crear una marca auténtica combinando propósito y estrategia de marketing para lograr conexiones honestas y positivas con tu audiencia,,,
480,Guion para cómic: domina el storytelling visual,Un curso de Fred Van Lente,"18,99€",2236,"Aprende a crear guiones profesionales para cómics y novelas gráficas donde el ambiente de una escena, los personajes y el diálogo estén en sintonía",,,
481,Estrategias de Brand Storytelling,Un curso de Anita Cufari,"15,99€",763,"Aprende técnicas de copywriting para transmitir la personalidad, los valores, la visión y la voz de una marca",,,
482,Decoración artística de cupcakes con buttercream,Un curso de Liz Shim,"21,99€",1847,"Descubre las infinitas posibilidades de la crema de mantequilla para decorar y aprende a diseñar, colorear y crear con manga pastelera animales irresistibles",,,
483,Composición tipográfica para proyectos editoriales,Un curso de Fraser Muggeridge,"19,99€",893,"Aprende a aplicar elementos tipográficos a un fragmento de texto de forma práctica para transmitir el tono, el sentido y el interés",,,
484,Diseño de portadas de discos para bandas y solistas,Un curso de Alejandro Ros,"24,99€",192,"Aprende a traducir la música en imágenes conociendo el proceso para diseñar la tapa de un álbum, desde la idea inicial hasta su creación",,,
485,Ilustración editorial con Photoshop,Un curso de James Yang,"19,99€",229,Aprende a utilizar las herramientas digitales de Photoshop para desglosar un tema complejo en ilustraciones atractivas,,,
486,Ilustración de metáforas visuales,Un curso de Fernando Cobelo,"15,99€",1805,Aprende a asociar las palabras a las imágenes y expresa conceptos abstractos a través de la ilustración experimentando con técnicas tradicionales y digitales,,,
487,Google Analytics: introducción al análisis de datos digitales,Un curso de Ricardo Tayar López,"19,99€",1527,"Aprende a utilizar la herramienta más popular para conocer las métricas de tu negocio y descubre cómo mejorar estrategias, ventas y conversiones",,,
488,Diseño y ejecución de estrategias de branded content,Un curso de Fernando de Córdoba,"21,99€",555,"Aprende a encontrar la voz de una empresa para traducirla en mapas de contenidos y aplicarlos en podcasts, redes sociales o interactivos",,,
489,Sketching arquitectónico: del papel a Photoshop,Un curso de David Drazil,"14,99€",1215,Aprende técnicas básicas de bocetado para crear sketching arquitectónicos a mano alzada y darles vida con colores y texturas en Photoshop,,,
490,Introducción a la escritura creativa desde la experiencia,Un curso de Aloma Rodríguez,"19,99€",634,Aprende a crear historias a partir de sucesos cotidianos y escribe un relato breve desde la experiencia personal y la observación,,,
491,Diseño de identidad visual simple y efectiva,Un curso de Pánico Estudio,"23,99€",444,Aprende a encontrar la esencia de una marca y a presentarla al mundo de forma sólida y auténtica mediante el branding,,,
492,Introducción al storyboarding para animación,Un curso de Petra Popescu,"15,99€",1267,Aprende a interpretar visualmente un guion y a transmitir las emociones de tus personajes y de la trama con tus dibujos,,,
493,Pirograbado en madera para principiantes,Un curso de Ash Rudolph,"15,99€",1127,Aprende a quemar la madera para transformarla en arte con ilustraciones únicas inspiradas en el mundo que te rodea mediante técnicas de pirograbado,,,
494,Diseño de identidad visual para tu marca personal,Un curso de Amanda Louisi,"23,99€",419,"Aprende a potenciar la personalidad de tu marca trabajando los elementos de su identidad visual, como logo, tipografía y otros aspectos gráficos.",,,
495,"Dibujo, pintura y digitalización en Photoshop de mundos imaginarios",Un curso de Francisco Fonseca,"15,99€",3037,"Aprende a dibujar un lugar imaginario con técnicas analógicas como la acuarela, los lápices y un cuaderno, y añade texturas ricas con Photoshop",,,
496,Creación de proyectos cinematográficos desde cero,Un curso de Sergio Castro San Martin,"14,99€",731,"Encuentra la idea original para tu película y crea una carpeta de dirección para un proyecto de ficción, documental, cortometraje o serie",,,
497,Escritura para la definición de marca,Un curso de Pancho González,"16,99€",192,Aprende cómo crear un relato para definir y comunicar los valores y las acciones de una marca con impacto positivo,,,
498,Escritura creativa: el poder de la palabra en la era digital,Un curso de Max Stossel,"21,99€",760,Descubre técnicas de escritura llenas de creatividad y cuenta historias que conecten con tu audiencia,,,
499,Tejido de tapices de lana en relieve con flecos y texturas,Un curso de Allyson Rousseau,"15,99€",869,Aprende a tejer formas con lana y realizar patrones con nudo rya para crear tapices de pared multicolor con una combinación de técnicas de punto plano y en 3D,,,
500,Dirección de arte y set design para fotografía de producto,Un curso de I'm blue I'm pink,"24,99€",214,Aprende a crear fotografías de producto impactantes que transmitan la personalidad de tu proyecto personal o marca comercial,,,
501,Pigmentos de laca a partir de tintes naturales: pintura textil,Un curso de Anabel Torres,"17,99€",1809,Aprende a extraer el color de la naturaleza para elaborar pigmentos en forma de polvo y fabrica pinturas que podrás usar para textil u otras aplicaciones,,,
502,Creación de estrategias de email marketing con Mailchimp,Un curso de Alessandra Farabegoli,"23,99€",769,Aprende a usar el plan gratuito de Mailchimp y realiza campañas de marketing por correo electrónico con newsletters relevantes y personales que potencien tu lista de suscriptores,,,
503,Introducción a la animación 2D con After Effects,Un curso de Laura Dajana Kroschewski,"18,99€",172,Aprende a animar tus dibujos con técnicas sencillas y desarrolla personajes con encanto y escenas llenas de emoción,,,
504,Acuarela botánica: ilustra el arte y la ciencia,Un curso de Julia Trickey,"21,99€",1803,Aprende a transformar elementos cotidianos como la fruta en verdaderos retratos botánicos combinando el dibujo observacional con técnicas de acuarela contemporáneas,,,
505,Estrategias de contenido en redes sociales para el sector creativo,Un curso de Louisa Schwartz,"21,99€",981,"Descubre las últimas tendencias en Instagram, Pinterest o TikTok y aumenta tu engagement con herramientas tan sencillas como un calendario de publicaciones",,,
506,Diseño de infografías para periódicos y revistas,Un curso de Manuel Bortoletti,"15,99€",3390,"Transforma un tema científico, tecnológico o medioambiental en información visual creando una infografía clara en Illustrator y maquetándola en InDesign",,,
507,Acuarela con detalles en filigrana y toques metálicos,Un curso de Lisi,"23,99€",1624,Aprende a pintar la flora y la fauna en acuarela con detalles en filigrana y potencia tus obras con toques metálicos,,,
508,Accesorios bordados: crea miniaturas de mascotas con needle painting,Un curso de Paulo Rezende,"15,99€",877,Aprende técnicas de bordado realista y crea accesorios y objetos decorativos entrañables con tu animal de compañía como protagonista.,,,
509,Dibujo de escenas infantiles: representa las emociones,Un curso de Noemí Villamuza,"21,99€",503,"Aprende a ilustrar escenas infantiles con atmósferas afectivas usando técnicas de grafito, acuarela, lápices o collage",,,
510,Storytelling: crea una relación entre marca y consumidor,Un curso de LaValentina,"19,99€",535,Aprende a escribir la historia que da vida a una marca y conecta con el consumidor final a través de la construcción de personajes,,,
511,Diseño de logotipos minimalistas con personalidad,Un curso de Alex Aperios,"23,99€",774,Aprende a crear logotipos minimalistas desde cero que reflejen la identidad de una marca con programas de edición de imagen y texto de Adobe,,,
512,Autorretrato artístico: fotografía introspectiva,Un curso de Fotolucida,"21,99€",445,Explora el autorretrato para ahondar en tu interior y logra fotografías personales y creativas con Lightroom y Photoshop,,,
513,Introducción al diseño de interfaces conversacionales,Un curso de Jesús Martín Jiménez,"15,99€",349,"Aprende a crear un asistente de voz paso a paso, desde la concepción del producto hasta la realización de un prototipo para testear tu diseño",,,
514,Creación de muebles en miniatura para casas de muñecas,Un curso de Chelsea Andersson,"18,99€",1658,Aprende desde cero a construir miniaturas a escala 1:12 de muebles y decoración usando materiales y herramientas accesibles,,,
515,Técnicas decorativas sobre cerámica: esgrafiado y bajocubierta,Un curso de Clara Holt,"18,99€",713,Recrea historias sobre objetos de cerámica a través de diferentes técnicas de grabado y pintura como el esgrafiado y la bajocubierta,,,
516,UX writing para principiantes,Un curso de Pedro Quintino,"21,99€",1083,"Aprende a diseñar una experiencia de usuario única y desarrolla tu porfolio a través del tono, la inclusividad, la accesibilidad y la organización de contenidos",,,
517,Diseño estratégico de identidades visuales de marca,Un curso de Kevin Craft,"21,99€",1927,"Aprende a usar el pensamiento estratégico y ayuda a las marcas a conectar con su público objetivo a través de colores, tramas y tipografías",,,
518,Fotografía urbana nocturna,Un curso de Gustavo Minas,"19,99€",1112,"Aprende a realizar fotos nocturnas de ciudades usando varias técnicas y fuentes de luz, desde las primeras ideas hasta la posproducción",,,
519,Técnicas experimentales de retrato al óleo,Un curso de Andrés Kal,"15,99€",1558,Aprende herramientas y procesos no convencionales para crear retratos expresivos a partir de un referente y transformarlo con pinceladas llenas de color,,,
520,Cuaderno tipográfico con lettering manual,Un curso de Joanna Muñoz,"15,99€",2381,Aprende a dibujar letras con estilo y completa un sketchbook con composiciones originales aplicando varias técnicas creativas,,,
521,Branding digital: crea identidades visuales de marca,Un curso de Max & Marco (Moby Digg),"18,99€",613,Aprende a desarrollar un concepto de diseño y un storytelling potente y traduce la identidad de marca en un sistema de diseño flexible con diferentes parámetros,,,
522,Introducción a la fotografía gastronómica para restaurantes,Un curso de Cole Wilson,"15,99€",1073,"Aprende a tomar fotografías gastronómicas de forma profesional para tu negocio usando técnicas de enfoque, iluminación y retoque",,,
523,Laboratorio experimental de escritura creativa,Un curso de Karen Villeda,"23,99€",878,"Pierde el miedo a escribir y descubre lo fascinante que es combinar varios géneros literarios como la narrativa, la poesía y el ensayo",,,
524,Creación de muebles de resina con técnicas de terrazo,Un curso de Olivia Aspinall,"15,99€",1493,"Aprende a modelar y crear mobiliario personalizado con motivos y colores vivos utilizando resina ecológica, desde el molde inicial hasta la pieza acabada",,,
525,Pasos para crear un naming de marca memorable,Un curso de Rob Meyerson,"18,99€",1293,Combina la creatividad con el pensamiento analítico para elegir nombres originales para marcas que reflejen sus valores,,,
526,Creación y animación de monstruos con Cinema 4D,Un curso de Jim Palacio,"15,99€",277,Aprende a crear seres terroríficos en tiempo récord y descubre distintos tipos de animación a partir de geometrías básicas,,,
527,Ilustración con acuarela para productos: monetiza tu arte,Un curso de Luli Reis,"21,99€",1705,Aprende a transformar tus ilustraciones con acuarela en productos personalizados y gana dinero con tus ideas,,,
528,Dibujo de personajes con gouache y lápices de colores,Un curso de Sarah Walsh,"15,99€",729,"Aprende a canalizar tu fantasía y da vida a tus personajes con gouache, lápices de colores y herramientas digitales",,,
529,Retratos bordados de mascotas: pinta con hilo,Un curso de Michelle Staub ⋆ StitchingSabbatical,"14,99€",5811,Descubre cómo crear retratos realistas que capturen la esencia de un animal gracias al bordado a mano,,,
530,Producción y realización de un podcast: cautiva a tu audiencia,Un curso de Federico Ciccone,"15,99€",1129,"Aprende a encontrar una buena idea, escribir un buen guión y desarrollar un buen planteamiento para conquistar a tus oyentes con tus historias y creatividad",,,
531,Técnicas de tatuaje estilo acuarela: arte sobre piel,Un curso de Leidy Vargas,"19,99€",1586,Explora con la mancha de acuarela sobre la hoja de papel y aprende las bases para transferir a la piel los distintos tipos de pinceladas,,,
532,Identidad de marca: diseña a través de la creatividad,Un curso de Jim Sutherland,"19,99€",589,Experimenta con las bases de la identidad visual para crear proyectos memorables y atractivos para tus clientes,,,
533,Fotografía culinaria de estilismos de mesa,Un curso de Emilie Guelpa,"18,99€",601,Descubre los secretos del estilismo culinario y fotografía una merienda invernal con la que cautivar a tus invitados más golosos,,,
534,Cuaderno de escritura para creativos,Un curso de Virginia Moll,"19,99€",951,"Aprende a entrenar la imaginación desde tu cuaderno a través de técnicas como la escritura automática o el collage, para generar nuevos proyectos creativos",,,
535,Tejido de prendas de punto con mangas ranglán desde arriba,Un curso de Simone Ryan,"18,99€",1515,Aprende a tejer un jersey con mangas ranglán y diseña prendas increíbles que te duren toda la vida siguiendo esta técnica,,,
536,Retrato fotográfico: retoque y composición de imágenes impactantes,Un curso de David Ayllon,"15,99€",193,"Aprende a lograr imágenes expresivas explorando la identidad y referentes icónicos a través de la narración, desde el concepto inicial hasta la edición final",,,
537,Elaboración de presupuestos para freelancers y creativos,Un curso de Stefano Scozzese,"15,99€",1811,"Aprende cómo elaborar un presupuesto para dar valor a tu trabajo, desde proyectos de redes sociales y diseño web hasta fotografía o ilustración",,,
538,Introducción al dibujo de retrato a lápiz,Un curso de Matt Smith,"21,99€",2855,"Aprende a dibujar retratos desde cero y explora diversas técnicas para dar vida a tus obras con formas básicas, tonos, sombras y delineados",,,
539,Costura creativa: introducción al Bojagi,Un curso de Desedamas,"15,99€",1748,"Aprende las bases del Bojagi, o patchwork coreano, para confeccionar composiciones textiles increíbles cosidas a mano o con máquina de coser",,,
540,Decoración de muebles con rejilla trenzada,Un curso de Jucá Mobília,"15,99€",581,Aprende a aplicar la rejilla trenzada y crea piezas decorativas exclusivas que combinen madera y fibras vegetales,,,
541,Pintura realista al óleo: el color en la vegetación,Un curso de Antonio Barahona,"18,99€",990,"Aprende desde cero cómo pintar al óleo una composición vegetal realista, profundizando en la percepción, el color y las formas",,,
542,Bisutería floral: crea accesorios con flores frescas,Un curso de Susan McLeary,"18,99€",553,"Aprende técnicas sencillas de diseño floral para crear a mano pendientes, brazaletes y tocados llenos de color",,,
543,Dibujo a lápiz de animales realistas para cuentos,Un curso de Julie Mellan,"18,99€",4672,"Aprende a dibujar animales paso a paso explorando las bases de su anatomía, la postura y la estilización para cautivar al público infantil",,,
544,Design thinking: innova y lidera proyectos de éxito,Un curso de Lisa Weinsberger,"15,99€",1774,Optimiza el flujo de trabajo de tus proyectos mediante la mejora del proceso de diseño y una colaboración más eficiente con tus clientes y equipos,,,
545,Identidades visuales coloridas: de la idea al diseño en Canva,Un curso de Caroline Carrillo,"15,99€",658,"Aprende a crear identidades visuales de marca de principio a fin, desde el brief hasta la presentación, pasando por el logo, el sistema gráfico y la paleta cromática",,,
546,Diseño de packaging de principio a fin para marcas,Un curso de Arcal Studio,"21,99€",915,"Aprende cómo diseñar empaques con estilo y listos para mostrar a tus clientes, desde su tipografía y colores hasta su último detalle gráfico",,,
